,neg,neu,pos,nns,FRS,Dugast,Herdan,Maas,Summer,cttr,rttr,label
100,0.143,0.685,0.173,18449,79.5,51.97811041197887,0.7817092741034415,0.01923886790177621,0.8986072424333571,17.284246170210466,24.443615349306867,Literary
101,0.104,0.656,0.24,5296,75.37,49.36215903378353,0.7938982130006089,0.020258433171766222,0.900508612468747,14.06146176948213,19.885909941192406,Allegories
102,0.106,0.679,0.215,27950,64.64,55.39378642313901,0.7872191074533954,0.018052566263682627,0.9030194266592971,20.880237887614374,29.529115606240794,Literary
103,0.108,0.651,0.241,8490,82.48,52.350791291295955,0.7928861025164868,0.01910190801960741,0.9026316002361128,16.929647227626788,23.94213671550187,Literary
104,0.147,0.663,0.19,8974,79.6,52.763566631168,0.7972722636181966,0.018952471636162847,0.9044026223376507,17.000458731380927,24.042279304483007,Literary
105,0.13,0.71,0.16,34795,72.8,51.28017469115728,0.7660372354620926,0.019500713599800577,0.8927342016599751,17.205832582757953,24.332721790457196,Literary
106,0.143,0.662,0.195,34762,72.19,48.89156665740933,0.7511122717604164,0.020453425168539856,0.8854673289739107,15.015587672263536,21.235247733117344,Literary
107,0.104,0.723,0.173,30075,75.74,50.445038270580376,0.7646815372520808,0.01982355518566831,0.8915568494647701,16.368651274645874,23.148768630359847,Literary
108,0.099,0.755,0.146,21660,80.14,49.35506102119728,0.7650336333819366,0.020261346644278578,0.8907118437948747,15.28639136994893,21.618221995124813,Literary
109,0.095,0.718,0.187,11860,76.05,55.84081784490398,0.8023658910006288,0.01790804717039544,0.9082985346358557,19.892675247011198,28.132491126206794,Literary
110,0.095,0.709,0.196,32592,65.19,52.25591574016718,0.7690506433770359,0.01913658933798642,0.8945640214831173,18.182435761679745,25.713847251145072,Literary
111,0.123,0.698,0.179,15571,71.38,56.18001793808854,0.8011140431667702,0.01779992311682811,0.9081215968419232,20.448286002453322,28.918243391953403,Literary
112,0.132,0.684,0.184,17046,67.49,59.93297070141678,0.8119268363300589,0.016685306740123942,0.913988842922785,23.79316008439344,33.64860968306337,Literary
113,0.132,0.697,0.172,15102,88.36,51.56667302950477,0.7844610873831892,0.019392369940714086,0.8991977066987146,16.694922285159848,23.610185518437877,Literary
114,0.165,0.634,0.201,4323,67.93,55.12012231373728,0.8191184858438855,0.018142194865028004,0.9132343098686301,17.032190400012084,24.08715466061792,Literary
115,0.101,0.75,0.149,22637,77.98,52.87332459910964,0.7821813164860444,0.01891312883352978,0.8994729384012295,18.23333694758512,25.785832398593325,Literary
116,0.111,0.721,0.168,30282,69.65,52.43629740785567,0.771707884735621,0.019070759177023555,0.8956083213860343,18.28324968252712,25.85641966528344,Literary
117,0.124,0.655,0.221,10474,61.7,54.55274480646953,0.8004936946977826,0.018330883323058895,0.9067857063523767,18.61345230739746,26.32339669570627,Literary
118,0.115,0.664,0.222,15911,76.15,51.04756653838115,0.7797297273729986,0.019589572389275983,0.8971807713780398,16.42460614671871,23.227900769326098,Literary
119,0.119,0.701,0.181,23436,75.34,54.066680565086024,0.7845537958680414,0.01849567958580682,0.9011719217713227,19.453757345204295,27.511767476703127,Love and Romance
120,0.083,0.764,0.153,20607,81.63,54.57820944316454,0.790913071590493,0.01832233065544882,0.9036538363950791,19.55453361416989,27.654286643039637,Literary
121,0.13,0.618,0.252,7105,49.52,60.31390511528007,0.8265880368750147,0.01657992461421069,0.9188708502168588,21.525979490198562,30.442332138403888,Literary
122,0.106,0.702,0.192,18769,79.19,51.843766695885584,0.7791721616565603,0.01928872193770137,0.8976467205437997,17.279865923401154,24.437420744862596,Literary
123,0.128,0.694,0.178,25152,67.52,50.043761002743885,0.7642717636823297,0.01998251090570851,0.891065148315223,15.974095789709576,22.590782912454237,Literary
